 	A	-	D	P	L	J	U	N	H	F	G	C	S	T	O	I	E	Q	M	V	K
1416578.1999999986	0	0	0	2	1	0	0	0	0	7	7	0	3	0	1	0	2	0	3	3	4
1428583.0999999985	0	0	0	5	1	0	0	0	0	4	6	0	3	0	0	0	2	0	0	2	4
1440587.9999999984	0	0	0	4	1	0	0	0	2	2	2	1	6	0	0	0	2	1	0	2	3
1452592.8999999983	0	0	0	1	1	1	0	0	2	2	3	1	6	0	0	0	7	1	0	0	3
1464597.7999999982	0	1	0	3	1	2	0	0	0	2	2	0	3	0	0	0	5	0	0	0	4
1476602.699999998	0	1	0	3	3	1	0	0	0	4	0	0	5	1	0	0	0	0	1	0	5
1488607.599999998	0	1	0	1	5	0	2	2	0	4	0	1	3	1	1	0	0	0	1	0	2
1500612.499999998	0	3	0	1	6	0	2	2	0	1	0	1	2	0	1	0	0	0	0	0	4
1512617.3999999978	0	3	0	0	7	0	0	0	0	1	0	0	6	0	0	0	0	0	0	1	4
1524622.2999999977	0	2	1	0	4	0	1	0	0	1	0	0	9	0	1	0	0	0	0	1	0
1536627.1999999976	0	2	1	0	1	0	2	0	0	1	0	1	9	0	1	0	0	0	1	0	0
1548632.0999999975	0	1	0	0	1	0	1	0	0	1	5	1	7	0	0	1	0	2	1	0	0
1560636.9999999974	0	1	0	1	2	1	0	0	1	3	8	0	5	0	0	1	1	2	1	0	1
1572641.8999999973	0	1	0	2	2	1	0	0	1	5	4	1	6	0	0	1	1	0	1	0	1
1584646.7999999973	0	1	0	2	3	0	0	0	2	2	1	1	4	0	0	1	0	0	1	0	1
1596651.6999999972	0	1	0	6	6	0	0	0	2	0	2	0	2	0	0	0	0	0	1	0	1
1608656.599999997	0	0	0	5	4	0	0	0	0	0	6	0	4	0	0	0	1	0	0	0	2
1620661.499999997	0	0	0	0	4	0	0	0	0	0	4	0	3	0	0	0	8	0	1	0	3
1632666.3999999969	0	0	2	0	3	2	1	0	0	2	0	2	4	0	0	0	8	0	1	0	1
1644671.2999999968	0	0	2	2	2	4	1	0	0	2	2	2	3	0	0	0	3	0	2	2	2
1656676.1999999967	0	0	0	2	3	3	0	0	3	1	4	0	1	0	0	0	2	0	6	2	2
1668681.0999999966	0	0	0	1	6	1	0	0	3	1	2	1	2	0	0	0	1	0	4	0	1
1680685.9999999965	0	0	0	2	8	1	0	0	0	0	1	1	4	0	0	0	1	1	0	0	2
1692690.8999999964	0	0	0	2	5	2	0	0	1	1	2	0	3	1	0	0	4	1	0	0	2
1704695.7999999963	0	0	0	1	2	2	0	0	2	5	1	1	1	1	0	0	8	0	0	0	1
1716700.6999999962	0	1	0	1	1	2	1	0	3	5	1	1	1	0	0	0	10	0	0	0	0
1728705.5999999961	0	1	0	3	4	2	1	0	2	1	2	1	0	0	0	0	6	0	1	0	1
1740710.499999996	0	2	0	4	3	1	0	0	3	3	1	1	0	0	0	0	2	0	2	0	1
1752715.399999996	0	2	1	2	0	1	0	0	5	5	0	0	0	0	1	0	2	0	2	0	1
1764720.2999999959	0	1	1	0	0	1	0	0	3	5	1	0	4	0	1	1	0	0	4	0	3
1776725.1999999958	0	7	0	0	0	1	0	0	2	3	3	1	5	0	0	1	0	0	3	0	2
1788730.0999999957	0	7	0	0	2	2	0	0	1	2	3	2	3	0	0	0	0	0	0	0	0
1800734.9999999956	0	1	0	0	8	1	0	0	1	2	1	1	2	0	0	0	0	0	2	2	0
1812739.8999999955	0	0	0	0	6	1	0	0	3	0	1	0	0	0	0	0	1	0	5	4	0
1824744.7999999954	0	0	0	1	0	3	0	0	3	3	1	0	2	0	0	0	1	0	5	3	0
1836749.6999999953	0	0	0	2	3	6	0	0	1	3	0	0	6	1	0	0	0	0	3	2	0
1848754.5999999952	0	0	0	1	5	4	0	0	0	0	0	0	11	1	0	0	0	0	2	1	0
1860759.499999995	0	0	0	1	3	0	0	0	0	2	0	0	11	0	0	0	0	0	2	0	1
1872764.399999995	0	5	1	1	1	0	0	1	0	2	0	0	12	0	0	0	0	0	1	0	1
1884769.299999995	0	7	1	0	5	0	0	1	0	1	0	0	11	0	0	0	0	0	0	0	0
1896774.1999999948	0	5	0	0	6	0	0	0	0	1	0	0	5	1	0	1	1	0	1	0	3
1908779.0999999947	0	3	0	1	3	1	0	0	6	0	0	0	3	1	0	1	1	0	4	0	4
1920783.9999999946	0	0	0	1	5	1	0	0	6	3	0	0	2	0	1	1	0	1	3	0	1
1932788.8999999946	0	0	2	1	3	2	0	0	0	3	0	0	4	0	1	1	0	1	2	1	2
1944793.7999999945	0	0	2	4	4	2	0	0	0	0	1	0	3	0	0	1	0	0	2	1	3
1956798.6999999944	0	1	0	3	4	0	0	0	1	0	1	0	2	0	2	1	1	0	0	0	3
1968803.5999999943	0	1	0	0	1	1	1	0	2	0	1	1	5	1	2	0	2	1	1	0	2
1980808.4999999942	0	1	0	1	2	1	1	0	1	3	1	1	5	2	0	0	2	1	4	0	2
1992813.399999994	0	2	0	2	6	0	0	0	0	3	2	0	3	1	0	0	2	0	8	0	2
2004818.299999994	0	2	0	2	7	0	0	0	0	0	4	0	4	0	0	0	3	1	5	1	1
2016823.199999994	0	1	1	1	4	1	0	0	0	0	2	4	5	0	1	0	4	1	0	1	1
2028828.0999999938	0	1	1	0	9	1	0	0	0	0	0	4	5	1	4	0	2	0	0	1	1
2040832.9999999937	0	2	0	0	11	0	0	0	0	0	0	0	5	1	3	0	0	0	0	3	1
2052837.8999999936	0	3	0	0	8	1	0	0	1	0	0	0	6	1	0	0	0	0	1	2	2
2064842.7999999935	0	2	1	0	5	2	0	0	1	0	0	0	6	1	0	0	0	0	3	2	3
2076847.6999999934	0	0	1	1	5	2	0	0	1	1	1	0	3	0	0	0	0	0	2	2	3
2088852.5999999933	0	1	0	3	5	1	0	0	1	1	1	1	4	0	0	0	2	0	0	0	2
2100857.4999999935	0	1	0	2	4	0	3	0	0	0	0	1	3	0	0	1	3	0	4	0	0
2112862.3999999934	0	0	0	0	4	3	3	0	1	1	0	1	0	1	0	1	1	0	5	0	1
2124867.2999999933	0	0	0	1	2	3	0	0	1	1	0	4	1	1	0	0	2	0	1	0	2
2136872.199999993	0	0	1	1	3	1	0	0	0	1	2	3	2	1	0	0	2	1	0	0	2
2148877.099999993	0	1	2	0	2	1	0	0	0	1	2	0	4	1	0	0	1	1	1	0	1
2160881.999999993	0	1	1	0	2	3	0	0	0	1	0	0	6	0	0	1	2	1	1	0	0
2172886.899999993	0	0	0	2	3	4	0	0	0	1	0	1	4	0	0	5	3	1	0	0	3
2184891.799999993	0	0	0	2	2	3	0	0	0	0	1	1	1	0	0	10	2	2	0	0	4
2196896.6999999927	0	5	0	0	1	4	0	0	0	0	1	0	1	0	0	6	0	2	4	0	3
2208901.5999999926	0	5	0	0	4	4	0	0	0	0	0	1	4	1	0	0	0	0	5	0	5
2220906.4999999925	0	0	0	0	4	3	0	0	0	0	0	1	7	1	0	0	2	0	1	0	6
2232911.3999999925	0	0	0	0	0	2	0	0	6	0	1	0	4	0	0	0	2	2	0	0	4
2244916.2999999924	0	1	0	0	1	1	0	0	6	1	6	0	2	2	0	0	1	2	0	0	3
2256921.1999999923	0	1	0	4	1	0	0	0	1	1	5	3	6	2	0	0	2	0	0	1	3
